==================================================
🚀 INICIANDO FINE-TUNE DEEPSEEK PARA AGRONOMIA
==================================================

📥 Carregando dataset...
✅ Dataset carregado com 15000 exemplos.

🔧 Carregando modelo e tokenizador...
==((====))==  Unsloth 2026.9.11: Fast Qwen2 patching. Transformers: 5.5.0.
   \\   /|    Tesla T4. Num GPUs = 1. Max memory: 14.563 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.11.0+cu130. CUDA: 7.5. CUDA Toolkit: 13.0. Triton: 3.6.0
\        /    Bfloat16 = FALSE. FA [Xformers = 0.0.35. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!

Loading weights: 100%
 339/339 [00:01<00:00, 444.97it/s]

Unsloth: Will load unsloth/deepseek-r1-distill-qwen-1.5b-unsloth-bnb-4bit as a legacy tokenizer.

✅ Modelo carregado com sucesso!

🔄 Filtrando e formatando dataset...
✅ Filtrados: 15000 exemplos válidos.
✅ Dataset formatado com sucesso!

⚙️ Configurando LoRA...
✅ LoRA configurado.

🏋️‍♂️ Iniciando treinamento...
Unsloth: We found double BOS tokens - we shall remove one automatically.

Unsloth: Tokenizing ["text"] (num_proc=2): 100%
 15000/15000 [00:04<00:00, 5610.37 examples/s]

==((====))==  Unsloth - 2x faster free finetuning | Num GPUs used = 1
   \\   /|    Num examples = 15,000 | Num Epochs = 3 | Total steps = 5,625
O^O/ \_/ \    Batch size per device = 4 | Gradient accumulation steps = 2
\        /    Data Parallel GPUs = 1 | Total batch size (4 x 2 x 1) = 8
 "-____-"     Trainable parameters = 17,432,576 of 1,794,520,576 (0.97% trained)
`use_return_dict` is deprecated! Use `return_dict` instead!

Unsloth: Will smartly offload gradients to save VRAM!

/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_cuda' is deprecated, please use 'torch.backends.cuda.is_built()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_cudnn' is deprecated, please use 'torch.backends.cudnn.is_available()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_mps' is deprecated, please use 'torch.backends.mps.is_built()'
  return original(name)
/usr/local/lib/python3.13/dist-packages/unsloth/import_fixes.py:4091: UserWarning: 'has_mkldnn' is deprecated, please use 'torch.backends.mkldnn.is_available()'
  return original(name)

[5625/5625 1:44:33, Epoch 3/3]
Step 	Training Loss
10 	6.906272
20 	6.474516
30 	6.285589
40 	5.481675
50 	5.100873
60 	4.774300
70 	4.474380
80 	4.537936
90 	4.795191
100 	4.588712
110 	4.002683
120 	4.222765
130 	4.046994
140 	4.265790
150 	3.866176
160 	3.943241
170 	4.236943
180 	4.005285
190 	3.648737
200 	4.215528
210 	3.809986
220 	3.666021
230 	3.882045
240 	3.856427
250 	3.767778
260 	3.801236
270 	3.796835
280 	3.567881
290 	3.758057
300 	3.454771
310 	3.621345
320 	3.517396
330 	3.358007
340 	3.874333
350 	3.344456
360 	3.480217
370 	3.627124
380 	3.252956
390 	3.430244
400 	3.496507
410 	3.294867
420 	3.358147
430 	3.411905
440 	3.325827
450 	3.245360
460 	3.531303
470 	3.135470
480 	3.383905
490 	3.194284
500 	3.364205
510 	3.289185
520 	3.325582
530 	3.171117
540 	3.185552
550 	3.090370
560 	3.225161
570 	3.103937
580 	3.242765
590 	3.399804
600 	3.185114
610 	3.189764
620 	3.306576
630 	3.013733
640 	3.078863
650 	3.225003
660 	3.144637
670 	2.985194
680 	3.048607
690 	3.051302
700 	3.207541
710 	3.139674
720 	3.016657
730 	3.244828
740 	3.166327
750 	2.938910
760 	3.241070
770 	3.051849
780 	2.914830
790 	2.938053
800 	2.993975
810 	2.973426
820 	3.062699
830 	2.928890
840 	3.002263
850 	2.976489
860 	2.959415
870 	2.854767
880 	2.766343
890 	2.757436
900 	3.077394
910 	2.991283
920 	2.915960
930 	3.016877
940 	2.846112
950 	2.722452
960 	2.907911
970 	2.925325
980 	2.939473
990 	2.968218
1000 	2.884915
1010 	2.818837
1020 	2.711191
1030 	2.877840
1040 	2.898187
1050 	2.773185
1060 	2.677263
1070 	2.937061
1080 	2.873885
1090 	2.724355
1100 	2.722657
1110 	2.867567
1120 	2.739552
1130 	2.755566
1140 	2.697064
1150 	2.847704
1160 	2.915771
1170 	2.920303
1180 	2.866127
1190 	2.803778
1200 	2.673715
1210 	2.708514
1220 	2.698588
1230 	2.884392
1240 	2.717448
1250 	2.777617
1260 	2.513407
1270 	2.607170
1280 	2.594044
1290 	2.691575
1300 	2.636016
1310 	2.446745
1320 	2.565525
1330 	2.760517
1340 	2.717255
1350 	2.601650
1360 	2.696378
1370 	2.659570
1380 	2.640835
1390 	2.594326
1400 	2.773239
1410 	2.788485
1420 	2.586513
1430 	2.836500
1440 	2.623591
1450 	2.667529
1460 	2.564923
1470 	2.585624
1480 	2.843109
1490 	2.648237
1500 	2.769877
